date,open,high,low,close,volume,daily_return,volatility_7,volatility_30,cum_return,ticker
1986-04-25,0.0768932,0.0845253,0.0768932,0.0845253,124422616.49113,0.09925585097251788,0.052187481707805565,0.05864195705382611,1.2245074462536942,MSFT
1986-04-28,0.0845253,0.0845253,0.0768932,0.0845253,41891868.485753,0.0,0.052187481707805565,0.05864195705382611,1.2245074462536942,MSFT
1986-04-29,0.0845253,0.0845253,0.0768932,0.0768932,43980199.220624,-0.09029367538476651,0.06931758327884337,0.0613436671515501,1.1139421683954338,MSFT
1986-04-30,0.0768932,0.0768932,0.0768932,0.0768932,44815532.750415,0.0,0.06931758327884337,0.0613436671515501,1.1139421683954338,MSFT
1986-05-01,0.0768932,0.0768932,0.0768932,0.0768932,78813522.757672,0.0,0.06931758327884337,0.0613436671515501,1.1139421683954338,MSFT
1986-05-02,0.0768932,0.0768932,0.0768932,0.0768932,29361898.494698,0.0,0.06931758327884337,0.0613436671515501,1.1139421683954338,MSFT
1986-05-05,0.0768932,0.0768932,0.0768932,0.0768932,4719627.3372257,0.0,0.05476190494097676,0.05750590853563432,1.1139421683954338,MSFT
1986-05-06,0.0768932,0.0768932,0.0768932,0.0768932,14117100.196102,0.0,0.03412780143286949,0.05750590853563432,1.1139421683954338,MSFT
1986-05-07,0.0768932,0.0768932,0.0768932,0.0768932,7476212.7434684,0.0,0.03412780143286949,0.05750590853563432,1.1139421683954338,MSFT
1986-05-08,0.0768932,0.0768932,0.0768932,0.0768932,5137289.9826429,0.0,0.0,0.05750590853563432,1.1139421683954338,MSFT
1986-05-09,0.0768932,0.0768932,0.0768932,0.0768932,8812747.8329538,0.0,0.0,0.05347411561477101,1.1139421683954338,MSFT
1986-05-12,0.0768932,0.0768932,0.0768932,0.0768932,15203032.960938,0.0,0.0,0.05347411561477101,1.1139421683954338,MSFT
1986-05-13,0.0768932,0.0768932,0.0768932,0.0768932,5554954.6877997,0.0,0.0,0.049057256275048734,1.1139421683954338,MSFT
1986-05-14,0.0768932,0.0768932,0.0768932,0.0768932,13490604.683172,0.0,0.0,0.04422129624775739,1.1139421683954338,MSFT
1986-05-15,0.0768932,0.0768932,0.0768932,0.0768932,5513187.2904012,0.0,0.0,0.04422129624775739,1.1139421683954338,MSFT
1986-05-16,0.0768932,0.0768932,0.0768932,0.0768932,17333128.003598,0.0,0.0,0.04422129624775739,1.1139421683954338,MSFT
1986-05-19,0.0768932,0.0768932,0.0768932,0.0768932,15954832.725801,0.0,0.0,0.03880600120897761,1.1139421683954338,MSFT
1986-05-20,0.0768932,0.0768932,0.0768932,0.0768932,89881665.765744,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-21,0.0768932,0.0768932,0.0768932,0.0768932,11736410.037877,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-22,0.0768932,0.0768932,0.0768932,0.0768932,6390284.098113,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-23,0.0768932,0.0768932,0.0768932,0.0768932,5930849.9358183,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-27,0.0768932,0.0768932,0.0768932,0.0768932,20131483.896847,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-28,0.0768932,0.0768932,0.0768932,0.0768932,22512186.413509,0.0,0.0,0.03242177513262103,1.1139421683954338,MSFT
1986-05-29,0.0768932,0.0845253,0.0768932,0.0845253,66241785.36922,0.09925585097251788,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-05-30,0.0845253,0.0845253,0.0845253,0.0845253,39260576.002877,0.0,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-06-02,0.0845253,0.0845253,0.0845253,0.0845253,28610106.96879,0.0,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-06-03,0.0845253,0.0845253,0.0768932,0.0845253,7267382.9655643,0.0,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-06-04,0.0845253,0.0845253,0.0768932,0.0845253,6849718.2604076,0.0,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-06-05,0.0845253,0.0845253,0.0768932,0.0845253,19880890.841024,0.0,0.037515185405910104,0.036763006948487546,1.2245074462536945,MSFT
1986-06-06,0.0845253,0.0845253,0.0845253,0.0845253,4970219.3631793,0.0,0.037515185405910104,0.030775059507656213,1.2245074462536945,MSFT
